mes,comarques i Aran,concepte,sexe,estat,valor
08/2021,Vallès Oriental,població vacunada amb primera dosi (%),homes,,72.6
08/2021,Vallès Oriental,població vacunada amb primera dosi (%),dones,,75.9
08/2021,Vallès Oriental,població vacunada amb primera dosi (%),total,,74.3
08/2021,Vallès Oriental,població vacunada amb segona dosi (%),homes,,58.7
08/2021,Vallès Oriental,població vacunada amb segona dosi (%),dones,,63.7
08/2021,Vallès Oriental,població vacunada amb segona dosi (%),total,,61.2
08/2021,Vallès Oriental,població vacunada amb dosi addicional (%),homes,,0.0
08/2021,Vallès Oriental,població vacunada amb dosi addicional (%),dones,,0.0
08/2021,Vallès Oriental,població vacunada amb dosi addicional (%),total,,0.0
08/2021,Catalunya,dosis administrades,homes,,4934684
08/2021,Catalunya,dosis administrades,dones,,5420413
08/2021,Catalunya,dosis administrades,total,,10408013
08/2021,Catalunya,persones vacunades amb primera dosi,homes,,2724823
08/2021,Catalunya,persones vacunades amb primera dosi,dones,,2943318
08/2021,Catalunya,persones vacunades amb primera dosi,total,,5701625
08/2021,Catalunya,persones vacunades amb segona dosi,homes,,2209861
08/2021,Catalunya,persones vacunades amb segona dosi,dones,,2477095
08/2021,Catalunya,persones vacunades amb segona dosi,total,,4706388
08/2021,Catalunya,persones vacunades amb dosi addicional,homes,,0
08/2021,Catalunya,persones vacunades amb dosi addicional,dones,,0
08/2021,Catalunya,persones vacunades amb dosi addicional,total,,0
08/2021,Catalunya,dosis administrades per cada 100 persones,homes,,130.3
08/2021,Catalunya,dosis administrades per cada 100 persones,dones,,137.8
08/2021,Catalunya,dosis administrades per cada 100 persones,total,,134.8
08/2021,Catalunya,població vacunada amb primera dosi (%),homes,,71.9
08/2021,Catalunya,població vacunada amb primera dosi (%),dones,,74.8
08/2021,Catalunya,població vacunada amb primera dosi (%),total,,73.8
08/2021,Catalunya,població vacunada amb segona dosi (%),homes,,58.3
08/2021,Catalunya,població vacunada amb segona dosi (%),dones,,63.0
08/2021,Catalunya,població vacunada amb segona dosi (%),total,,60.9
08/2021,Catalunya,població vacunada amb dosi addicional (%),homes,,0.0
08/2021,Catalunya,població vacunada amb dosi addicional (%),dones,,0.0
08/2021,Catalunya,població vacunada amb dosi addicional (%),total,,0.0
09/2021,Alt Camp,dosis administrades,homes,,31129
09/2021,Alt Camp,dosis administrades,dones,,32022
09/2021,Alt Camp,dosis administrades,total,,63151
09/2021,Alt Camp,persones vacunades amb primera dosi,homes,,16645
09/2021,Alt Camp,persones vacunades amb primera dosi,dones,,16790
09/2021,Alt Camp,persones vacunades amb primera dosi,total,,33435
09/2021,Alt Camp,persones vacunades amb segona dosi,homes,,14359
09/2021,Alt Camp,persones vacunades amb segona dosi,dones,,14987
09/2021,Alt Camp,persones vacunades amb segona dosi,total,,29346
09/2021,Alt Camp,persones vacunades amb dosi addicional,homes,,125
09/2021,Alt Camp,persones vacunades amb dosi addicional,dones,,245
09/2021,Alt Camp,persones vacunades amb dosi addicional,total,,370
09/2021,Alt Camp,dosis administrades per cada 100 persones,homes,,136.6
09/2021,Alt Camp,dosis administrades per cada 100 persones,dones,,145.1
09/2021,Alt Camp,dosis administrades per cada 100 persones,total,,140.8
09/2021,Alt Camp,població vacunada amb primera dosi (%),homes,,73.0
09/2021,Alt Camp,població vacunada amb primera dosi (%),dones,,76.1
09/2021,Alt Camp,població vacunada amb primera dosi (%),total,,74.5
09/2021,Alt Camp,població vacunada amb segona dosi (%),homes,,63.0
09/2021,Alt Camp,població vacunada amb segona dosi (%),dones,,67.9
09/2021,Alt Camp,població vacunada amb segona dosi (%),total,,65.4
09/2021,Alt Camp,població vacunada amb dosi addicional (%),homes,,0.5
09/2021,Alt Camp,població vacunada amb dosi addicional (%),dones,,1.1
09/2021,Alt Camp,població vacunada amb dosi addicional (%),total,,0.8
09/2021,Alt Empordà,dosis administrades,homes,,88937
09/2021,Alt Empordà,dosis administrades,dones,,93222
09/2021,Alt Empordà,dosis administrades,total,,182159
09/2021,Alt Empordà,persones vacunades amb primera dosi,homes,,48012
09/2021,Alt Empordà,persones vacunades amb primera dosi,dones,,49734
09/2021,Alt Empordà,persones vacunades amb primera dosi,total,,97746
09/2021,Alt Empordà,persones vacunades amb segona dosi,homes,,40627
09/2021,Alt Empordà,persones vacunades amb segona dosi,dones,,42936
09/2021,Alt Empordà,persones vacunades amb segona dosi,total,,83563
09/2021,Alt Empordà,persones vacunades amb dosi addicional,homes,,298
09/2021,Alt Empordà,persones vacunades amb dosi addicional,dones,,552
09/2021,Alt Empordà,persones vacunades amb dosi addicional,total,,850
09/2021,Alt Empordà,dosis administrades per cada 100 persones,homes,,127.4
09/2021,Alt Empordà,dosis administrades per cada 100 persones,dones,,134.0
09/2021,Alt Empordà,dosis administrades per cada 100 persones,total,,130.7
09/2021,Alt Empordà,població vacunada amb primera dosi (%),homes,,68.8
09/2021,Alt Empordà,població vacunada amb primera dosi (%),dones,,71.5
09/2021,Alt Empordà,població vacunada amb primera dosi (%),total,,70.1
09/2021,Alt Empordà,població vacunada amb segona dosi (%),homes,,58.2
09/2021,Alt Empordà,població vacunada amb segona dosi (%),dones,,61.7
09/2021,Alt Empordà,població vacunada amb segona dosi (%),total,,60.0
09/2021,Alt Empordà,població vacunada amb dosi addicional (%),homes,,0.4
09/2021,Alt Empordà,població vacunada amb dosi addicional (%),dones,,0.8
09/2021,Alt Empordà,població vacunada amb dosi addicional (%),total,,0.6
09/2021,Alt Penedès,dosis administrades,homes,,74534
09/2021,Alt Penedès,dosis administrades,dones,,78116
09/2021,Alt Penedès,dosis administrades,total,,152650
09/2021,Alt Penedès,persones vacunades amb primera dosi,homes,,40194
09/2021,Alt Penedès,persones vacunades amb primera dosi,dones,,41519
09/2021,Alt Penedès,persones vacunades amb primera dosi,total,,81713
09/2021,Alt Penedès,persones vacunades amb segona dosi,homes,,34078
09/2021,Alt Penedès,persones vacunades amb segona dosi,dones,,36078
09/2021,Alt Penedès,persones vacunades amb segona dosi,total,,70156
09/2021,Alt Penedès,persones vacunades amb dosi addicional,homes,,262
09/2021,Alt Penedès,persones vacunades amb dosi addicional,dones,,519
09/2021,Alt Penedès,persones vacunades amb dosi addicional,total,,781
09/2021,Alt Penedès,dosis administrades per cada 100 persones,homes,,136.0
09/2021,Alt Penedès,dosis administrades per cada 100 persones,dones,,142.1
09/2021,Alt Penedès,dosis administrades per cada 100 persones,total,,139.0
09/2021,Alt Penedès,població vacunada amb primera dosi (%),homes,,73.4
09/2021,Alt Penedès,població vacunada amb primera dosi (%),dones,,75.5
09/2021,Alt Penedès,població vacunada amb primera dosi (%),total,,74.4
09/2021,Alt Penedès,població vacunada amb segona dosi (%),homes,,62.2
09/2021,Alt Penedès,població vacunada amb segona dosi (%),dones,,65.6
09/2021,Alt Penedès,població vacunada amb segona dosi (%),total,,63.9
09/2021,Alt Penedès,població vacunada amb dosi addicional (%),homes,,0.5
09/2021,Alt Penedès,població vacunada amb dosi addicional (%),dones,,0.9
09/2021,Alt Penedès,població vacunada amb dosi addicional (%),total,,0.7
09/2021,Alt Urgell,dosis administrades,homes,,12115
09/2021,Alt Urgell,dosis administrades,dones,,13070
09/2021,Alt Urgell,dosis administrades,total,,25185
09/2021,Alt Urgell,persones vacunades amb primera dosi,homes,,6621
09/2021,Alt Urgell,persones vacunades amb primera dosi,dones,,6995
09/2021,Alt Urgell,persones vacunades amb primera dosi,total,,13616
09/2021,Alt Urgell,persones vacunades amb segona dosi,homes,,5417
09/2021,Alt Urgell,persones vacunades amb segona dosi,dones,,5950
09/2021,Alt Urgell,persones vacunades amb segona dosi,total,,11367
09/2021,Alt Urgell,persones vacunades amb dosi addicional,homes,,77
09/2021,Alt Urgell,persones vacunades amb dosi addicional,dones,,125
09/2021,Alt Urgell,persones vacunades amb dosi addicional,total,,202
09/2021,Alt Urgell,dosis administrades per cada 100 persones,homes,,120.9
09/2021,Alt Urgell,dosis administrades per cada 100 persones,dones,,130.9
09/2021,Alt Urgell,dosis administrades per cada 100 persones,total,,125.9
09/2021,Alt Urgell,població vacunada amb primera dosi (%),homes,,66.1
09/2021,Alt Urgell,població vacunada amb primera dosi (%),dones,,70.1
09/2021,Alt Urgell,població vacunada amb primera dosi (%),total,,68.0
09/2021,Alt Urgell,població vacunada amb segona dosi (%),homes,,54.0
09/2021,Alt Urgell,població vacunada amb segona dosi (%),dones,,59.6
09/2021,Alt Urgell,població vacunada amb segona dosi (%),total,,56.8
09/2021,Alt Urgell,població vacunada amb dosi addicional (%),homes,,0.8
09/2021,Alt Urgell,població vacunada amb dosi addicional (%),dones,,1.3
09/2021,Alt Urgell,població vacunada amb dosi addicional (%),total,,1.0
09/2021,Alta Ribagorça,dosis administrades,homes,,2737
09/2021,Alta Ribagorça,dosis administrades,dones,,2682
09/2021,Alta Ribagorça,dosis administrades,total,,5419
09/2021,Alta Ribagorça,persones vacunades amb primera dosi,homes,,1403
09/2021,Alta Ribagorça,persones vacunades amb primera dosi,dones,,1364
09/2021,Alta Ribagorça,persones vacunades amb primera dosi,total,,2767
09/2021,Alta Ribagorça,persones vacunades amb segona dosi,homes,,1320
09/2021,Alta Ribagorça,persones vacunades amb segona dosi,dones,,1295
09/2021,Alta Ribagorça,persones vacunades amb segona dosi,total,,2615
09/2021,Alta Ribagorça,persones vacunades amb dosi addicional,homes,,14
09/2021,Alta Ribagorça,persones vacunades amb dosi addicional,dones,,23
09/2021,Alta Ribagorça,persones vacunades amb dosi addicional,total,,37
09/2021,Alta Ribagorça,dosis administrades per cada 100 persones,homes,,137.0
09/2021,Alta Ribagorça,dosis administrades per cada 100 persones,dones,,144.3
09/2021,Alta Ribagorça,dosis administrades per cada 100 persones,total,,140.5
09/2021,Alta Ribagorça,població vacunada amb primera dosi (%),homes,,70.2
09/2021,Alta Ribagorça,població vacunada amb primera dosi (%),dones,,73.4
09/2021,Alta Ribagorça,població vacunada amb primera dosi (%),total,,71.8
09/2021,Alta Ribagorça,població vacunada amb segona dosi (%),homes,,66.1
09/2021,Alta Ribagorça,població vacunada amb segona dosi (%),dones,,69.7
09/2021,Alta Ribagorça,població vacunada amb segona dosi (%),total,,67.8
09/2021,Alta Ribagorça,població vacunada amb dosi addicional (%),homes,,0.7
09/2021,Alta Ribagorça,població vacunada amb dosi addicional (%),dones,,1.2
09/2021,Alta Ribagorça,població vacunada amb dosi addicional (%),total,,1.0
09/2021,Anoia,dosis administrades,homes,,83931
09/2021,Anoia,dosis administrades,dones,,87034
09/2021,Anoia,dosis administrades,total,,170965
09/2021,Anoia,persones vacunades amb primera dosi,homes,,44746
09/2021,Anoia,persones vacunades amb primera dosi,dones,,45903
09/2021,Anoia,persones vacunades amb primera dosi,total,,90649
09/2021,Anoia,persones vacunades amb segona dosi,homes,,38911
09/2021,Anoia,persones vacunades amb segona dosi,dones,,40588
09/2021,Anoia,persones vacunades amb segona dosi,total,,79499
09/2021,Anoia,persones vacunades amb dosi addicional,homes,,274
09/2021,Anoia,persones vacunades amb dosi addicional,dones,,543
09/2021,Anoia,persones vacunades amb dosi addicional,total,,817
09/2021,Anoia,dosis administrades per cada 100 persones,homes,,135.5
09/2021,Anoia,dosis administrades per cada 100 persones,dones,,142.3
09/2021,Anoia,dosis administrades per cada 100 persones,total,,138.9
09/2021,Anoia,població vacunada amb primera dosi (%),homes,,72.2
09/2021,Anoia,població vacunada amb primera dosi (%),dones,,75.1
09/2021,Anoia,població vacunada amb primera dosi (%),total,,73.6
09/2021,Anoia,població vacunada amb segona dosi (%),homes,,62.8
09/2021,Anoia,població vacunada amb segona dosi (%),dones,,66.4
09/2021,Anoia,població vacunada amb segona dosi (%),total,,64.6
09/2021,Anoia,població vacunada amb dosi addicional (%),homes,,0.4
09/2021,Anoia,població vacunada amb dosi addicional (%),dones,,0.9
09/2021,Anoia,població vacunada amb dosi addicional (%),total,,0.7
09/2021,Aran,dosis administrades,homes,,6343
09/2021,Aran,dosis administrades,dones,,6398
09/2021,Aran,dosis administrades,total,,12741
09/2021,Aran,persones vacunades amb primera dosi,homes,,3461
09/2021,Aran,persones vacunades amb primera dosi,dones,,3468
09/2021,Aran,persones vacunades amb primera dosi,total,,6929
09/2021,Aran,persones vacunades amb segona dosi,homes,,2845
09/2021,Aran,persones vacunades amb segona dosi,dones,,2883
09/2021,Aran,persones vacunades amb segona dosi,total,,5728
09/2021,Aran,persones vacunades amb dosi addicional,homes,,37
09/2021,Aran,persones vacunades amb dosi addicional,dones,,47
09/2021,Aran,persones vacunades amb dosi addicional,total,,84
09/2021,Aran,dosis administrades per cada 100 persones,homes,,121.9
09/2021,Aran,dosis administrades per cada 100 persones,dones,,132.4
09/2021,Aran,dosis administrades per cada 100 persones,total,,126.9
09/2021,Aran,població vacunada amb primera dosi (%),homes,,66.5
09/2021,Aran,població vacunada amb primera dosi (%),dones,,71.7
09/2021,Aran,població vacunada amb primera dosi (%),total,,69.0
09/2021,Aran,població vacunada amb segona dosi (%),homes,,54.7
09/2021,Aran,població vacunada amb segona dosi (%),dones,,59.6
09/2021,Aran,població vacunada amb segona dosi (%),total,,57.1
09/2021,Aran,població vacunada amb dosi addicional (%),homes,,0.7
09/2021,Aran,població vacunada amb dosi addicional (%),dones,,1.0
09/2021,Aran,població vacunada amb dosi addicional (%),total,,0.8
09/2021,Bages,dosis administrades,homes,,120184
09/2021,Bages,dosis administrades,dones,,128960
09/2021,Bages,dosis administrades,total,,249144
09/2021,Bages,persones vacunades amb primera dosi,homes,,64913
09/2021,Bages,persones vacunades amb primera dosi,dones,,68615
09/2021,Bages,persones vacunades amb primera dosi,total,,133528
09/2021,Bages,persones vacunades amb segona dosi,homes,,54835
09/2021,Bages,persones vacunades amb segona dosi,dones,,59406
09/2021,Bages,persones vacunades amb segona dosi,total,,114241
09/2021,Bages,persones vacunades amb dosi addicional,homes,,436
09/2021,Bages,persones vacunades amb dosi addicional,dones,,939
09/2021,Bages,persones vacunades amb dosi addicional,total,,1375
09/2021,Bages,dosis administrades per cada 100 persones,homes,,135.6
09/2021,Bages,dosis administrades per cada 100 persones,dones,,142.5
09/2021,Bages,dosis administrades per cada 100 persones,total,,139.1
09/2021,Bages,població vacunada amb primera dosi (%),homes,,73.2
09/2021,Bages,població vacunada amb primera dosi (%),dones,,75.8
09/2021,Bages,població vacunada amb primera dosi (%),total,,74.5
09/2021,Bages,població vacunada amb segona dosi (%),homes,,61.9
09/2021,Bages,població vacunada amb segona dosi (%),dones,,65.6
09/2021,Bages,població vacunada amb segona dosi (%),total,,63.8
09/2021,Bages,població vacunada amb dosi addicional (%),homes,,0.5
09/2021,Bages,població vacunada amb dosi addicional (%),dones,,1.0
09/2021,Bages,població vacunada amb dosi addicional (%),total,,0.8
09/2021,Baix Camp,dosis administrades,homes,,131916
09/2021,Baix Camp,dosis administrades,dones,,142570
09/2021,Baix Camp,dosis administrades,total,,274486
09/2021,Baix Camp,persones vacunades amb primera dosi,homes,,70303
09/2021,Baix Camp,persones vacunades amb primera dosi,dones,,75260
09/2021,Baix Camp,persones vacunades amb primera dosi,total,,145563
09/2021,Baix Camp,persones vacunades amb segona dosi,homes,,60867
09/2021,Baix Camp,persones vacunades amb segona dosi,dones,,66144
09/2021,Baix Camp,persones vacunades amb segona dosi,total,,127011
09/2021,Baix Camp,persones vacunades amb dosi addicional,homes,,746
09/2021,Baix Camp,persones vacunades amb dosi addicional,dones,,1166
09/2021,Baix Camp,persones vacunades amb dosi addicional,total,,1912
09/2021,Baix Camp,dosis administrades per cada 100 persones,homes,,137.0
09/2021,Baix Camp,dosis administrades per cada 100 persones,dones,,144.1
09/2021,Baix Camp,dosis administrades per cada 100 persones,total,,140.6
09/2021,Baix Camp,població vacunada amb primera dosi (%),homes,,73.0
09/2021,Baix Camp,població vacunada amb primera dosi (%),dones,,76.1
09/2021,Baix Camp,població vacunada amb primera dosi (%),total,,74.5
09/2021,Baix Camp,població vacunada amb segona dosi (%),homes,,63.2
09/2021,Baix Camp,població vacunada amb segona dosi (%),dones,,66.8
09/2021,Baix Camp,població vacunada amb segona dosi (%),total,,65.0
09/2021,Baix Camp,població vacunada amb dosi addicional (%),homes,,0.8
09/2021,Baix Camp,població vacunada amb dosi addicional (%),dones,,1.2
09/2021,Baix Camp,població vacunada amb dosi addicional (%),total,,1.0
09/2021,Baix Ebre,dosis administrades,homes,,55655
09/2021,Baix Ebre,dosis administrades,dones,,57406
09/2021,Baix Ebre,dosis administrades,total,,113061
09/2021,Baix Ebre,persones vacunades amb primera dosi,homes,,29549
09/2021,Baix Ebre,persones vacunades amb primera dosi,dones,,30042
09/2021,Baix Ebre,persones vacunades amb primera dosi,total,,59591
09/2021,Baix Ebre,persones vacunades amb segona dosi,homes,,25851
09/2021,Baix Ebre,persones vacunades amb segona dosi,dones,,26975
09/2021,Baix Ebre,persones vacunades amb segona dosi,total,,52826
09/2021,Baix Ebre,persones vacunades amb dosi addicional,homes,,255
09/2021,Baix Ebre,persones vacunades amb dosi addicional,dones,,389
09/2021,Baix Ebre,persones vacunades amb dosi addicional,total,,644
09/2021,Baix Ebre,dosis administrades per cada 100 persones,homes,,142.0
09/2021,Baix Ebre,dosis administrades per cada 100 persones,dones,,148.3
09/2021,Baix Ebre,dosis administrades per cada 100 persones,total,,145.1
09/2021,Baix Ebre,població vacunada amb primera dosi (%),homes,,75.4
09/2021,Baix Ebre,població vacunada amb primera dosi (%),dones,,77.6
09/2021,Baix Ebre,població vacunada amb primera dosi (%),total,,76.5
09/2021,Baix Ebre,població vacunada amb segona dosi (%),homes,,66.0
09/2021,Baix Ebre,població vacunada amb segona dosi (%),dones,,69.7
09/2021,Baix Ebre,població vacunada amb segona dosi (%),total,,67.8
09/2021,Baix Ebre,població vacunada amb dosi addicional (%),homes,,0.7
09/2021,Baix Ebre,població vacunada amb dosi addicional (%),dones,,1.0
09/2021,Baix Ebre,població vacunada amb dosi addicional (%),total,,0.8
09/2021,Baix Empordà,dosis administrades,homes,,88794
09/2021,Baix Empordà,dosis administrades,dones,,94439
09/2021,Baix Empordà,dosis administrades,total,,183233
09/2021,Baix Empordà,persones vacunades amb primera dosi,homes,,47287
09/2021,Baix Empordà,persones vacunades amb primera dosi,dones,,49735
09/2021,Baix Empordà,persones vacunades amb primera dosi,total,,97022
09/2021,Baix Empordà,persones vacunades amb segona dosi,homes,,41188
09/2021,Baix Empordà,persones vacunades amb segona dosi,dones,,44046
09/2021,Baix Empordà,persones vacunades amb segona dosi,total,,85234
09/2021,Baix Empordà,persones vacunades amb dosi addicional,homes,,319
09/2021,Baix Empordà,persones vacunades amb dosi addicional,dones,,658
09/2021,Baix Empordà,persones vacunades amb dosi addicional,total,,977
09/2021,Baix Empordà,dosis administrades per cada 100 persones,homes,,133.1
09/2021,Baix Empordà,dosis administrades per cada 100 persones,dones,,141.1
09/2021,Baix Empordà,dosis administrades per cada 100 persones,total,,137.1
09/2021,Baix Empordà,població vacunada amb primera dosi (%),homes,,70.9
09/2021,Baix Empordà,població vacunada amb primera dosi (%),dones,,74.3
09/2021,Baix Empordà,població vacunada amb primera dosi (%),total,,72.6
09/2021,Baix Empordà,població vacunada amb segona dosi (%),homes,,61.7
09/2021,Baix Empordà,població vacunada amb segona dosi (%),dones,,65.8
09/2021,Baix Empordà,població vacunada amb segona dosi (%),total,,63.8
09/2021,Baix Empordà,població vacunada amb dosi addicional (%),homes,,0.5
09/2021,Baix Empordà,població vacunada amb dosi addicional (%),dones,,1.0
09/2021,Baix Empordà,població vacunada amb dosi addicional (%),total,,0.7
09/2021,Baix Llobregat,dosis administrades,homes,,575336
09/2021,Baix Llobregat,dosis administrades,dones,,626581
09/2021,Baix Llobregat,dosis administrades,total,,1201917
09/2021,Baix Llobregat,persones vacunades amb primera dosi,homes,,309835
09/2021,Baix Llobregat,persones vacunades amb primera dosi,dones,,333260
09/2021,Baix Llobregat,persones vacunades amb primera dosi,total,,643095
09/2021,Baix Llobregat,persones vacunades amb segona dosi,homes,,263542
09/2021,Baix Llobregat,persones vacunades amb segona dosi,dones,,289568
09/2021,Baix Llobregat,persones vacunades amb segona dosi,total,,553110
09/2021,Baix Llobregat,persones vacunades amb dosi addicional,homes,,1959
09/2021,Baix Llobregat,persones vacunades amb dosi addicional,dones,,3753
09/2021,Baix Llobregat,persones vacunades amb dosi addicional,total,,5712
09/2021,Baix Llobregat,dosis administrades per cada 100 persones,homes,,141.6
09/2021,Baix Llobregat,dosis administrades per cada 100 persones,dones,,148.4
09/2021,Baix Llobregat,dosis administrades per cada 100 persones,total,,145.1
09/2021,Baix Llobregat,població vacunada amb primera dosi (%),homes,,76.3
09/2021,Baix Llobregat,població vacunada amb primera dosi (%),dones,,78.9
09/2021,Baix Llobregat,població vacunada amb primera dosi (%),total,,77.6
09/2021,Baix Llobregat,població vacunada amb segona dosi (%),homes,,64.9
09/2021,Baix Llobregat,població vacunada amb segona dosi (%),dones,,68.6
09/2021,Baix Llobregat,població vacunada amb segona dosi (%),total,,66.8
09/2021,Baix Llobregat,població vacunada amb dosi addicional (%),homes,,0.5
09/2021,Baix Llobregat,població vacunada amb dosi addicional (%),dones,,0.9
09/2021,Baix Llobregat,població vacunada amb dosi addicional (%),total,,0.7
09/2021,Baix Penedès,dosis administrades,homes,,70363
09/2021,Baix Penedès,dosis administrades,dones,,74549
09/2021,Baix Penedès,dosis administrades,total,,144912
09/2021,Baix Penedès,persones vacunades amb primera dosi,homes,,37696
09/2021,Baix Penedès,persones vacunades amb primera dosi,dones,,39517
09/2021,Baix Penedès,persones vacunades amb primera dosi,total,,77213
09/2021,Baix Penedès,persones vacunades amb segona dosi,homes,,32356
09/2021,Baix Penedès,persones vacunades amb segona dosi,dones,,34560
09/2021,Baix Penedès,persones vacunades amb segona dosi,total,,66916
09/2021,Baix Penedès,persones vacunades amb dosi addicional,homes,,311
09/2021,Baix Penedès,persones vacunades amb dosi addicional,dones,,472
09/2021,Baix Penedès,persones vacunades amb dosi addicional,total,,783
09/2021,Baix Penedès,dosis administrades per cada 100 persones,homes,,130.3
09/2021,Baix Penedès,dosis administrades per cada 100 persones,dones,,140.3
09/2021,Baix Penedès,dosis administrades per cada 100 persones,total,,135.2
09/2021,Baix Penedès,població vacunada amb primera dosi (%),homes,,69.8
09/2021,Baix Penedès,població vacunada amb primera dosi (%),dones,,74.4
09/2021,Baix Penedès,població vacunada amb primera dosi (%),total,,72.1
09/2021,Baix Penedès,població vacunada amb segona dosi (%),homes,,59.9
09/2021,Baix Penedès,població vacunada amb segona dosi (%),dones,,65.0
09/2021,Baix Penedès,població vacunada amb segona dosi (%),total,,62.4
09/2021,Baix Penedès,població vacunada amb dosi addicional (%),homes,,0.6
09/2021,Baix Penedès,població vacunada amb dosi addicional (%),dones,,0.9
09/2021,Baix Penedès,població vacunada amb dosi addicional (%),total,,0.7
09/2021,Barcelonès,dosis administrades,homes,,1533990
09/2021,Barcelonès,dosis administrades,dones,,1755454
09/2021,Barcelonès,dosis administrades,total,,3289444
09/2021,Barcelonès,persones vacunades amb primera dosi,homes,,836236
09/2021,Barcelonès,persones vacunades amb primera dosi,dones,,941538
09/2021,Barcelonès,persones vacunades amb primera dosi,total,,1777774
09/2021,Barcelonès,persones vacunades amb segona dosi,homes,,693544
09/2021,Barcelonès,persones vacunades amb segona dosi,dones,,806476
09/2021,Barcelonès,persones vacunades amb segona dosi,total,,1500020
09/2021,Barcelonès,persones vacunades amb dosi addicional,homes,,4210
09/2021,Barcelonès,persones vacunades amb dosi addicional,dones,,7440
09/2021,Barcelonès,persones vacunades amb dosi addicional,total,,11650
09/2021,Barcelonès,dosis administrades per cada 100 persones,homes,,140.4
09/2021,Barcelonès,dosis administrades per cada 100 persones,dones,,146.0
09/2021,Barcelonès,dosis administrades per cada 100 persones,total,,143.4
09/2021,Barcelonès,població vacunada amb primera dosi (%),homes,,76.6
09/2021,Barcelonès,població vacunada amb primera dosi (%),dones,,78.3
09/2021,Barcelonès,població vacunada amb primera dosi (%),total,,77.5
09/2021,Barcelonès,població vacunada amb segona dosi (%),homes,,63.5
09/2021,Barcelonès,població vacunada amb segona dosi (%),dones,,67.1
09/2021,Barcelonès,població vacunada amb segona dosi (%),total,,65.4
09/2021,Barcelonès,població vacunada amb dosi addicional (%),homes,,0.4
09/2021,Barcelonès,població vacunada amb dosi addicional (%),dones,,0.6
09/2021,Barcelonès,població vacunada amb dosi addicional (%),total,,0.5
09/2021,Berguedà,dosis administrades,homes,,27066
09/2021,Berguedà,dosis administrades,dones,,29173
09/2021,Berguedà,dosis administrades,total,,56239
09/2021,Berguedà,persones vacunades amb primera dosi,homes,,14413
09/2021,Berguedà,persones vacunades amb primera dosi,dones,,15188
09/2021,Berguedà,persones vacunades amb primera dosi,total,,29601
09/2021,Berguedà,persones vacunades amb segona dosi,homes,,12496
09/2021,Berguedà,persones vacunades amb segona dosi,dones,,13603
09/2021,Berguedà,persones vacunades amb segona dosi,total,,26099
09/2021,Berguedà,persones vacunades amb dosi addicional,homes,,157
09/2021,Berguedà,persones vacunades amb dosi addicional,dones,,382
09/2021,Berguedà,persones vacunades amb dosi addicional,total,,539
09/2021,Berguedà,dosis administrades per cada 100 persones,homes,,136.0
09/2021,Berguedà,dosis administrades per cada 100 persones,dones,,146.4
09/2021,Berguedà,dosis administrades per cada 100 persones,total,,141.2
09/2021,Berguedà,població vacunada amb primera dosi (%),homes,,72.4
09/2021,Berguedà,població vacunada amb primera dosi (%),dones,,76.2
09/2021,Berguedà,població vacunada amb primera dosi (%),total,,74.3
09/2021,Berguedà,població vacunada amb segona dosi (%),homes,,62.8
09/2021,Berguedà,població vacunada amb segona dosi (%),dones,,68.3
09/2021,Berguedà,població vacunada amb segona dosi (%),total,,65.5
09/2021,Berguedà,població vacunada amb dosi addicional (%),homes,,0.8
09/2021,Berguedà,població vacunada amb dosi addicional (%),dones,,1.9
09/2021,Berguedà,població vacunada amb dosi addicional (%),total,,1.4
09/2021,Cerdanya,dosis administrades,homes,,12125
09/2021,Cerdanya,dosis administrades,dones,,12046
09/2021,Cerdanya,dosis administrades,total,,24171
09/2021,Cerdanya,persones vacunades amb primera dosi,homes,,6603
09/2021,Cerdanya,persones vacunades amb primera dosi,dones,,6520
09/2021,Cerdanya,persones vacunades amb primera dosi,total,,13123
09/2021,Cerdanya,persones vacunades amb segona dosi,homes,,5484
09/2021,Cerdanya,persones vacunades amb segona dosi,dones,,5459
09/2021,Cerdanya,persones vacunades amb segona dosi,total,,10943
09/2021,Cerdanya,persones vacunades amb dosi addicional,homes,,38
09/2021,Cerdanya,persones vacunades amb dosi addicional,dones,,67
09/2021,Cerdanya,persones vacunades amb dosi addicional,total,,105
09/2021,Cerdanya,dosis administrades per cada 100 persones,homes,,129.3
09/2021,Cerdanya,dosis administrades per cada 100 persones,dones,,133.6
09/2021,Cerdanya,dosis administrades per cada 100 persones,total,,131.4
09/2021,Cerdanya,població vacunada amb primera dosi (%),homes,,70.4
09/2021,Cerdanya,població vacunada amb primera dosi (%),dones,,72.3
09/2021,Cerdanya,població vacunada amb primera dosi (%),total,,71.3
09/2021,Cerdanya,població vacunada amb segona dosi (%),homes,,58.5
09/2021,Cerdanya,població vacunada amb segona dosi (%),dones,,60.6
09/2021,Cerdanya,població vacunada amb segona dosi (%),total,,59.5
09/2021,Cerdanya,població vacunada amb dosi addicional (%),homes,,0.4
09/2021,Cerdanya,població vacunada amb dosi addicional (%),dones,,0.7
09/2021,Cerdanya,població vacunada amb dosi addicional (%),total,,0.6
09/2021,Conca de Barberà,dosis administrades,homes,,13987
09/2021,Conca de Barberà,dosis administrades,dones,,14572
09/2021,Conca de Barberà,dosis administrades,total,,28559
09/2021,Conca de Barberà,persones vacunades amb primera dosi,homes,,7479
09/2021,Conca de Barberà,persones vacunades amb primera dosi,dones,,7603
